BIT	bool	Bit	Bool
TINYINT	byte	Byte	Number
SMALLINT	short	Int16	Number
MEDIUMINT	int	Int24	Number
INT	int	Int32	Number
INTEGER	int	Int32	Number
BIGINT	long	Int64	Number
FLOAT	float	Float	Number
DOUBLE	double	Double	Number
DECIMAL	decimal	Decimal	Number
DATE	DateTime	DateTime	Time
TIME	DateTime	Time	Time
YEAR	int	YYYY	Number
DATETIME	DateTime	DateTime	Time
TIMESTAMP	long	Timestamp	Time
CHAR	string	String	String
VARCHAR	string	VarChar	String
TINYBLOB	string	TinyBlob	String
TINYTEXT	string	TinyText	String
BLOB	string	Blob	String
TEXT	string	Text	String
MEDIUMBLOB	string	MediumBlob	String
MEDIUMTEXT	string	MediumText	String
LOGNGBLOB	string	LongBlob	String
LONGTEXT	string	LongText	String
ENUM	int	Enum	Number
Set	string	Set	String
